id,"Clip Name",Category,Needs,Feelings,Label
0,0002.mp4,"reaction,action,","play,","sad,",
1,0003.mp4,"dialog,reaction,action,","play,physicalWellbeing,",,
3,0005.mp4,"action,","play,physicalWellbeing,",,"dance,movement,"
4,0006.mp4,"action,","play,physicalWellbeing,",,"dance,movement,WAITING,"
9,0012.mp4,"action,","play,physicalWellbeing,",,"movement,"
23,0027.mp4,"action,","physicalWellbeing,play,",,"movement,"
24,0028.mp4,"action,","physicalWellbeing,play,",,"movement,"
27,0031.mp4,"reaction,","play,connection,","confident,inspired,",
30,0034.mp4,"reaction,","meaning,connection,play,","confused,angry,",
31,0035.mp4,"reaction,","meaning,connection,play,","confused,angry,",
34,0038.mp4,"action,","play,autonomy,physicalWellbeing,",,"movement,"
35,0039.mp4,"reaction,","play,autonomy,meaning,","aversion,",
37,0041.mp4,"reaction,action,","connection,play,","confident,joyful,","movement,"
40,0044.mp4,"reaction,","meaning,play,","confused,annoyed,",
41,0045.mp4,"reaction,","honesty,peace,play,","confident,inspired,joyful,",
44,0048.mp4,"action,","play,physicalWellbeing,",,"movement,"
45,0049.mp4,"action,","play,physicalWellbeing,",,"dance,movement,"
50,0054.mp4,"action,","play,physicalWellbeing,",,"movement,WAITING,"
51,0055.mp4,"action,","play,physicalWellbeing,",,"movement,"
61,0065.mp4,"dialog,reaction,","play,","joyful,",
64,0068.mp4,"reaction,","connection,play,","confident,joyful,","WAITING,"
72,0076.mp4,"action,","play,physicalWellbeing,",,"defeat,WAITING,movement,"
81,0108.mp4,"dialog,","peace,play,","hopeful,fatigue,","accept,"
83,0110.mp4,"dialog,","connection,play,","affectionate,confident,",
85,0112.mp4,"dialog,","play,","excited,joyful,",
89,0200.mp4,"action,","connection,meaning,honesty,play,physicalWellbeing,peace,autonomy,",,"movement,WAITING,"
104,0215.mp4,"dialog,reaction,","autonomy,play,","joyful,",
116,0227.mp4,"dialog,reaction,","play,meaning,honesty,","sad,","defeat,"
184,0297.mp4,"dialog,action,reaction,","connection,meaning,autonomy,play,","confident,vulnerable,","provoke,"
185,0298.mp4,"action,","connection,meaning,autonomy,play,peace,physicalWellbeing,",,"WAITING,"
191,0305.mp4,"dialog,","play,autonomy,",,
255,0374.mp4,"action,","play,physicalWellbeing,",,"movement,"
260,0381.mp4,,"honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,"
261,0382.mp4,"dialog,","honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,WAITING,"
262,0383.mp4,"dialog,","connection,meaning,autonomy,honesty,play,physicalWellbeing,peace,",,"greeting,WAITING,"
269,0390.mp4,,"play,physicalWellbeing,",,"movement,"
271,0392.mp4,"dialog,","meaning,play,",,
272,0393.mp4,"dialog,","connection,meaning,play,",,
275,0396.mp4,"dialog,reaction,","play,connection,",,"question,WAITING,"
278,0399.mp4,"dialog,","play,connection,","disconnected,",
