id,"Clip Name",Category,Needs,Feelings,Label
1,0003.mp4,"dialog,reaction,action,","play,physicalWellbeing,",,
3,0005.mp4,"action,","play,physicalWellbeing,",,"dance,movement,"
4,0006.mp4,"action,","play,physicalWellbeing,",,"dance,movement,WAITING,"
9,0012.mp4,"action,","play,physicalWellbeing,",,"movement,"
19,0023.mp4,"action,","physicalWellbeing,autonomy,",,"movement,"
20,0024.mp4,"dialog,","physicalWellbeing,autonomy,peace,","confident,inspired,tense,","movement,"
21,0025.mp4,"action,reaction,","physicalWellbeing,",,"movement,"
23,0027.mp4,"action,","physicalWellbeing,play,",,"movement,"
24,0028.mp4,"action,","physicalWellbeing,play,",,"movement,"
34,0038.mp4,"action,","play,autonomy,physicalWellbeing,",,"movement,"
44,0048.mp4,"action,","play,physicalWellbeing,",,"movement,"
45,0049.mp4,"action,","play,physicalWellbeing,",,"dance,movement,"
50,0054.mp4,"action,","play,physicalWellbeing,",,"movement,WAITING,"
51,0055.mp4,"action,","play,physicalWellbeing,",,"movement,"
68,0072.mp4,"action,","physicalWellbeing,",,"run,movement,"
69,0073.mp4,"reaction,","meaning,physicalWellbeing,peace,","annoyed,fatigue,aversion,","movement,"
70,0074.mp4,,"peace,physicalWellbeing,","disconnected,aversion,annoyed,","WAITING,"
71,0075.mp4,"action,dialog,","physicalWellbeing,connection,","aversion,fatigue,disconnected,","run,defeat,"
72,0076.mp4,"action,","play,physicalWellbeing,",,"defeat,WAITING,movement,"
89,0200.mp4,"action,","connection,meaning,honesty,play,physicalWellbeing,peace,autonomy,",,"movement,WAITING,"
103,0214.mp4,"dialog,reaction,","physicalWellbeing,","angry,disquiet,",
128,0241.mp4,"action,","physicalWellbeing,connection,","angry,","movement,"
135,0248.mp4,"dialog,","physicalWellbeing,","aversion,",
185,0298.mp4,"action,","connection,meaning,autonomy,play,peace,physicalWellbeing,",,"WAITING,"
255,0374.mp4,"action,","play,physicalWellbeing,",,"movement,"
259,0380.mp4,"reaction,action,","honesty,connection,meaning,peace,autonomy,physicalWellbeing,",,"WAITING,"
260,0381.mp4,,"honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,"
261,0382.mp4,"dialog,","honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,WAITING,"
262,0383.mp4,"dialog,","connection,meaning,autonomy,honesty,play,physicalWellbeing,peace,",,"greeting,WAITING,"
265,0386.mp4,"dialog,reaction,","physicalWellbeing,",,"greeting,"
269,0390.mp4,,"play,physicalWellbeing,",,"movement,"
