id,"Clip Name",Category,Needs,Feelings,Label
5,0007.mp4,"action,","meaning,peace,",,"WAITING,listening,"
8,0010.mp4,"reaction,dialog,","peace,meaning,autonomy,","peaceful,",
11,0014.mp4,"action,","connection,peace,",,"WAITING,"
20,0024.mp4,"dialog,","physicalWellbeing,autonomy,peace,","confident,inspired,tense,","movement,"
25,0029.mp4,"reaction,dialog,","peace,autonomy,","confident,excited,exhilarated,","movement,"
41,0045.mp4,"reaction,","honesty,peace,play,","confident,inspired,joyful,",
47,0051.mp4,"reaction,action,","peace,","afraid,excited,","WAITING,listening,"
69,0073.mp4,"reaction,","meaning,physicalWellbeing,peace,","annoyed,fatigue,aversion,","movement,"
70,0074.mp4,,"peace,physicalWellbeing,","disconnected,aversion,annoyed,","WAITING,"
76,0103.mp4,"dialog,","honesty,peace,","confident,",
79,0106.mp4,"dialog,","autonomy,peace,","confident,vulnerable,",
81,0108.mp4,"dialog,","peace,play,","hopeful,fatigue,","accept,"
89,0200.mp4,"action,","connection,meaning,honesty,play,physicalWellbeing,peace,autonomy,",,"movement,WAITING,"
139,0252.mp4,"dialog,","peace,","hopeful,engaged,","accept,"
147,0260.mp4,"dialog,reaction,","peace,","fatigue,",
185,0298.mp4,"action,","connection,meaning,autonomy,play,peace,physicalWellbeing,",,"WAITING,"
234,0349.mp4,"dialog,","meaning,peace,honesty,",,"question,"
237,0352.mp4,"dialog,","peace,connection,",,
259,0380.mp4,"reaction,action,","honesty,connection,meaning,peace,autonomy,physicalWellbeing,",,"WAITING,"
260,0381.mp4,,"honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,"
261,0382.mp4,"dialog,","honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,WAITING,"
262,0383.mp4,"dialog,","connection,meaning,autonomy,honesty,play,physicalWellbeing,peace,",,"greeting,WAITING,"
263,0384.mp4,,"connection,meaning,autonomy,honesty,peace,",,"WAITING,"
274,0395.mp4,"reaction,","connection,peace,","inspired,affectionate,refreshed,",
